,Element,URI,Description,Label,EquivalentClass,Domain,InverseOf,ParentProperty
U47 has derivation type,property,http://data.doremus.org/ontology#U47_has_derivation_type,,,,,mus:U47i_is_derivation_type_of,
U47i is derivation type of,property,http://data.doremus.org/ontology#U47i_is_derivation_type_of,,U47i is derivation type of@en,,,,
U48 foresees quantity of actors,property,http://data.doremus.org/ontology#U48_foresees_quantity_of_actors,,,,mus:M23_Casting_Detail,,
U49 created for actor,property,http://data.doremus.org/ontology#U49_created_for_actor,,,,,mus:U49i_actor_motivated,
U49i actor motivated,property,http://data.doremus.org/ontology#U49i_actor_motivated,,U49i actor motivated@en,,,,
U50 Has annotation,property,http://data.doremus.org/ontology#U50_has_annotation,,,,ecrm:E1_CRM_Entity,,
U51 is partial or full recording of,property,http://data.doremus.org/ontology#U51_is_partial_or_full_recording_of,,,,,mus:U51i_has_partial_or_full_recording,
U51i has partial or full recording,property,http://data.doremus.org/ontology#U51i_has_partial_or_full_recording,,U51i has partial or full recording@en,,,,
U52 has context,property,http://data.doremus.org/ontology#U52_has_context,,,,,mus:U52i_is_context_of,
U52i is context of,property,http://data.doremus.org/ontology#U52i_is_context_of,,U52i is context of@en,,,,
U53 has duration,property,http://data.doremus.org/ontology#U53_has_duration,,,,,mus:U53i_is_duration_of,
